arm,template_id,amplitude,family,reducer,combiner,full32_power,first16_minus_full32,interpretation
paired300,MIX_GENERIC,0.25,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.044375,-0.006249999999999999,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_GENERIC,0.5,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.038125,-0.0006250000000000006,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_GENERIC,1.0,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.076875,0.0025000000000000022,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_GENERIC,2.0,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.709375,-0.008124999999999938,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_GENERIC,4.0,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_GENERIC,8.0,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,Q_AXIAL,0.25,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.059375,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,Q_AXIAL,0.5,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.1209375,-0.005312499999999998,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,Q_AXIAL,1.0,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.431875,-0.02562500000000001,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,Q_AXIAL,2.0,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.958125,0.00187499999999996,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,Q_AXIAL,4.0,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,1.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,Q_AXIAL,8.0,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,1.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,0.25,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.0396875,-0.003437500000000003,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,0.5,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.038125,-0.006874999999999999,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,1.0,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.04125,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,2.0,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.1328125,-0.002187500000000009,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,4.0,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.3878125,0.00093749999999998,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,8.0,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.7709375,0.0034374999999999822,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_AXIAL,0.25,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.050625,-0.0062500000000000056,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
