arm,template_id,amplitude,reducer,combiner,scalar_power,irrep_power,irrep_minus_scalar,arms_are_independent_replications
paired300,O_PLANAR,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.04125,0.2128125,0.17156249999999998,False
paired300,O_PLANAR,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.1328125,0.290625,0.15781250000000002,False
paired300,O_PLANAR,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.3878125,0.308125,-0.07968750000000002,False
paired300,O_PLANAR,8.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.7709375,0.309375,-0.46156250000000004,False
paired300,MIX_AXIAL,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.050625,0.0696875,0.019062499999999996,False
paired300,MIX_AXIAL,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.08125,0.0946875,0.013437499999999991,False
paired300,MIX_AXIAL,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.1628125,0.3796875,0.216875,False
paired300,MIX_AXIAL,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.6165625,0.985625,0.36906249999999996,False
paired300,MIX_AXIAL,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9834375,1.0,0.016562500000000036,False
paired300,MIX_AXIAL,8.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,1.0,1.0,0.0,False
