source_case_id,control_case_id,direction_id,source_cutoff,control_safety_factor,rank_status,low_rank,high_rank,surviving_rank,augmented_rank_increment,rank_identity_holds,containment_witness,surviving_frobenius_fraction,high_threshold,control_operator_norm,cutsky_operator_norm,control_to_cutsky_operator_ratio,analysis_content_id
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,X,12,5.0,AMBIGUOUS,32,16,,,,,,0.27949076598864275,0.05589815319772855,28.707669990403502,0.0019471504729019935,sha256:d6c06d25cf46c84e432279ecea2d5df33a84bce8b0604f5bcdead82adb293161
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,X,12,10.0,AMBIGUOUS,32,14,,,,,,0.5589815319772855,0.05589815319772855,28.707669990403502,0.0019471504729019935,sha256:91f6455ff38220cfc5e8fc3cddc99fb739f9097220d82fb21e6c326e61ac9e77
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Y,12,2.0,AMBIGUOUS,32,20,,,,,,0.11179630639545941,0.05589815319772971,28.70766999040349,0.0019471504729020345,sha256:74559c568ed2a2379bc84ec7368b48e16afe19a3f4f9b391ec8e539925e2e7a3
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Y,12,5.0,AMBIGUOUS,32,16,,,,,,0.2794907659886485,0.05589815319772971,28.70766999040349,0.0019471504729020345,sha256:93bf107d493540f43088a25c94d351d24071af498c9bcf992f6eed5bb3fd2fcb
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Y,12,10.0,AMBIGUOUS,32,14,,,,,,0.558981531977297,0.05589815319772971,28.70766999040349,0.0019471504729020345,sha256:5de2eb311a0b5695cf887ee8856aa565f89be89f5c3a5343fb4927a36772962c
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Z,12,2.0,AMBIGUOUS,32,28,,,,,,0.014043079009934206,0.007021539504967103,58.60370464491878,0.00011981391871914541,sha256:b8c907818034c595b775d4c9b178a16b282a595e52a9394548de410935fbc8ce
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Z,12,5.0,AMBIGUOUS,32,26,,,,,,0.035107697524835516,0.007021539504967103,58.60370464491878,0.00011981391871914541,sha256:64db987b5845095cf450c9fd123db96e74c73762e863bd399ef93c8dbc0db6c0
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Z,12,10.0,AMBIGUOUS,32,24,,,,,,0.07021539504967103,0.007021539504967103,58.60370464491878,0.00011981391871914541,sha256:20a4ae82f6ee93848d99779bda87cb3bf08a222eddf12045ee9cb7902cd386de
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D111,12,2.0,AMBIGUOUS,32,20,,,,,,0.09167036253310608,0.04583518126655304,41.16460992307608,0.0011134608429960787,sha256:c1842a866d4e27b39aedcc6e493b6f74b6ec3297e47e124b86ad4486c7f2d60f
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D111,12,5.0,AMBIGUOUS,32,16,,,,,,0.2291759063327652,0.04583518126655304,41.16460992307608,0.0011134608429960787,sha256:95ca6db57671d6aa9f7d05d2b2f204af67394f9f5bdfa2f6c4f5a39f57d111e7
