gate,normalized_margin
highres_spectrum,0.8407037473203077
highres_trace,0.47869657159603
condition_oracle,0.18957587449941923
spectrum_convergence,0.8626410265774699
alias_convergence,0.8673954109603675
matrix_convergence,0.8402751742066229
processing_cutoff,0.0025704321028601758
highres_alias,0.7966430126779758
cut_alias_detection,0.0007352274635328029
monopole_replay,7.397487402604409e-06
finite_slope,0.007409668171174388
fwl_parity,0.9089690805597073
historical_parity,7.376653839738857e-05
sign_kill,0.7500529261342501
transfer_order_kill,2.4879620855964585e-07
