family_id,frame_role,global_rank,global_rank_numerator,observation_max_score,rank_denominator,reducer_id
OBSERVABLE_IRREP_ORBIT_V1,FRAME_FREE_PRIMARY,61/1000,61,4.710530701645918,1000,LEGACY_ABSOLUTE_MEDIAN_V1
OBSERVABLE_IRREP_ORBIT_V1,FRAME_FREE_PRIMARY,55/1000,55,4.710530701645918,1000,LOO_ECDF_MIDRANK_V1
OBSERVABLE_IRREP_ORBIT_GALACTIC_V1,ABSOLUTE_GALACTIC_DESCRIPTIVE_COMPANION,78/1000,78,4.710530701645918,1000,LEGACY_ABSOLUTE_MEDIAN_V1
OBSERVABLE_IRREP_ORBIT_GALACTIC_V1,ABSOLUTE_GALACTIC_DESCRIPTIVE_COMPANION,73/1000,73,4.710530701645918,1000,LOO_ECDF_MIDRANK_V1
