absent_feature_ids,krylov_plane_status,krylov_rank,mixed_vector_status,primary_family_disposition,q_spectrum_status,row_id,row_index
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00054,55
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00055,56
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00056,57
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00057,58
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00058,59
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00059,60
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00060,61
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00061,62
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00062,63
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00063,64
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00064,65
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00065,66
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00066,67
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00067,68
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00068,69
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00069,70
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00070,71
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00071,72
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00072,73
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00073,74
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00074,75
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00075,76
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00076,77
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00077,78
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00078,79
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00079,80
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00080,81
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00081,82
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00082,83
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00083,84
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00084,85
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00085,86
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00086,87
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00087,88
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00088,89
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00089,90
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00090,91
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00091,92
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00092,93
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00093,94
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00094,95
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00095,96
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00096,97
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMBNOISE-00097,98
