family_id,frame_role,global_rank,global_rank_numerator,observation_max_score,rank_denominator,reducer_id
OBSERVABLE_IRREP_ORBIT_V1,FRAME_FREE_PRIMARY,27/301,27,4.3208159036289855,301,LEGACY_ABSOLUTE_MEDIAN_V1
OBSERVABLE_IRREP_ORBIT_V1,FRAME_FREE_PRIMARY,27/301,27,4.3208159036289855,301,LOO_ECDF_MIDRANK_V1
OBSERVABLE_IRREP_ORBIT_GALACTIC_V1,ABSOLUTE_GALACTIC_DESCRIPTIVE_COMPANION,34/301,34,4.3208159036289855,301,LEGACY_ABSOLUTE_MEDIAN_V1
OBSERVABLE_IRREP_ORBIT_GALACTIC_V1,ABSOLUTE_GALACTIC_DESCRIPTIVE_COMPANION,33/301,33,4.3208159036289855,301,LOO_ECDF_MIDRANK_V1
