case_id,source_ell,frobenius_fraction,weak_mode_weight
FULL_IDENTITY,1,0.012195112457471855,0.9999993405254805
FULL_IDENTITY,2,0.04115850459828,7.603278515873623e-30
FULL_IDENTITY,3,0.1387194042213454,3.8880643267501505e-13
FULL_IDENTITY,4,0.28810953218870905,1.4242993229391557e-30
FULL_IDENTITY,5,0.19054886536598759,6.594741308107092e-07
FULL_IDENTITY,6,0.32926858116820595,4.647654777809449e-30
BINARY_Z_IDENTITY,1,3.0730749713944215e-06,0.3221874353952323
BINARY_Z_IDENTITY,2,1.037159869263146e-05,0.3888020994356525
BINARY_Z_IDENTITY,3,3.4956182947273374e-05,0.2230396563889533
BINARY_Z_IDENTITY,4,7.260121831074953e-05,0.056911076341930975
BINARY_Z_IDENTITY,5,0.04830141618578694,0.008682660118843765
BINARY_Z_IDENTITY,6,0.9515775817392911,0.0003770723193873636
APODIZED_Z_NARROW_IDENTITY,1,1.0148172620638888e-05,0.23459073417812687
APODIZED_Z_NARROW_IDENTITY,2,3.425003643367244e-05,0.38200901028517625
APODIZED_Z_NARROW_IDENTITY,3,0.000115435391253492,0.2773228497467408
APODIZED_Z_NARROW_IDENTITY,4,0.0002397502889388887,0.08640458691820925
APODIZED_Z_NARROW_IDENTITY,5,0.07454642393277082,0.018409211398795713
APODIZED_Z_NARROW_IDENTITY,6,0.9250539921779827,0.0012636074729510333
APODIZED_Z_REFERENCE_IDENTITY,1,6.710538247589724e-05,0.14420838572269284
APODIZED_Z_REFERENCE_IDENTITY,2,0.0002264805929962356,0.33682680419968203
APODIZED_Z_REFERENCE_IDENTITY,3,0.0007633236357163604,0.32648691949584197
APODIZED_Z_REFERENCE_IDENTITY,4,0.001585364238159848,0.13800395915524089
APODIZED_Z_REFERENCE_IDENTITY,5,0.15223661932869942,0.04734686755753795
APODIZED_Z_REFERENCE_IDENTITY,6,0.8451211068219523,0.007127063869004959
APODIZED_Z_WIDE_IDENTITY,1,0.0020004454271345027,0.8382560945942824
APODIZED_Z_WIDE_IDENTITY,2,0.006751503061034229,0.15129218982610926
APODIZED_Z_WIDE_IDENTITY,3,0.02275506647137766,0.006200940518412018
APODIZED_Z_WIDE_IDENTITY,4,0.047260521641729426,0.001483493055463881
APODIZED_Z_WIDE_IDENTITY,5,0.5253230085205259,0.002642404905763769
APODIZED_Z_WIDE_IDENTITY,6,0.3959094548781984,0.0001248770999677123
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,1,9.0359644576214e-05,0.12010430122390446
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,2,0.0002937393486043385,0.3240773649812623
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,3,0.0009672773986111226,0.33932194093317614
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,4,0.0019114780905362862,0.14993359153558744
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,5,0.1638553876149696,0.057100276268503856
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,6,0.8328817579027019,0.009462525057565823
APODIZED_Z_REFERENCE_GAUSSIAN,1,9.289712847000769e-05,0.11806232013375055
APODIZED_Z_REFERENCE_GAUSSIAN,2,0.0002887865350076722,0.32402628269559064
APODIZED_Z_REFERENCE_GAUSSIAN,3,0.0009269995085579254,0.34256654964745414
APODIZED_Z_REFERENCE_GAUSSIAN,4,0.0017293142926381741,0.1483045288259161
APODIZED_Z_REFERENCE_GAUSSIAN,5,0.16229879578207654,0.05751049751459122
APODIZED_Z_REFERENCE_GAUSSIAN,6,0.8346632067532499,0.009529821182697221
