gate,normalized_margin
highres_spectrum,0.8407037473217603
highres_trace,0.47869656986299897
condition_oracle,0.18957587465766965
spectrum_convergence,0.8626410265772861
alias_convergence,0.8673954109603637
matrix_convergence,0.8402751742066673
processing_cutoff,0.0025704271082035318
highres_alias,0.796643012677969
cut_alias_detection,0.0007352274635205287
monopole_replay,7.397206526341032e-06
finite_slope,0.007409656990375879
fwl_parity,0.27896203865414765
historical_parity,7.376653879098272e-05
sign_kill,0.7500529261342505
transfer_order_kill,2.487962077478074e-07
