# bass_py recombination reference table
# Source: HyRec-2 (nanoomlee/HYREC-2) + sandbox post-processing
# Generated: 2026-04-18
# Cosmology: Planck 2018-like (HyRec default input.dat)
#   h         = 0.6735837
#   T_CMB     = 2.7255 K
#   Omega_b   = 0.0494142797907188
#   Omega_cb  = 0.31242079216478097
#   Y_He      = 0.245
#   N_eff     = 3.046
#   m_nu_tot  = 0.06 eV
#   Omega_m_total = 0.313841
#   Omega_r_total = 9.220339e-05
#   Omega_Lambda  = 0.686067
#   n_H(z=0)  = 1.899866e-01 /m^3
# Reionization NOT included (recombination history only).
# Columns: z, x_e, T_m[K], tau_dot[1/Mpc], kappa[dimensionless]
z,x_e,T_m,tau_dot,kappa
1.000000e+00,1.784221e-04,8.682995e-02,2.783328e-10,0.000000e+00
2.000000e+00,1.816462e-04,1.952366e-01,6.375651e-10,8.149452e-07
3.000000e+00,1.843581e-04,3.467977e-01,1.150371e-09,1.844922e-06
4.000000e+00,1.867041e-04,5.413482e-01,1.820327e-09,3.047006e-06
5.000000e+00,1.887869e-04,7.787009e-01,2.650514e-09,4.399883e-06
6.000000e+00,1.906725e-04,1.058649e+00,3.643676e-09,5.890293e-06
7.000000e+00,1.924044e-04,1.380968e+00,4.802314e-09,7.508821e-06
8.000000e+00,1.940129e-04,1.745417e+00,6.128741e-09,9.248253e-06
9.000000e+00,1.955199e-04,2.151741e+00,7.625120e-09,1.110279e-05
1.000000e+01,1.969417e-04,2.599674e+00,9.293490e-09,1.306762e-05
1.100000e+01,1.982909e-04,3.088935e+00,1.113579e-08,1.513864e-05
1.200000e+01,1.995773e-04,3.619235e+00,1.315387e-08,1.731232e-05
1.300000e+01,2.008087e-04,4.190271e+00,1.534950e-08,1.958555e-05
1.400000e+01,2.019916e-04,4.801735e+00,1.772440e-08,2.195557e-05
1.500000e+01,2.031314e-04,5.453308e+00,2.028022e-08,2.441991e-05
1.600000e+01,2.042298e-04,6.144665e+00,2.301826e-08,2.697634e-05
1.700000e+01,2.055523e-04,6.875463e+00,2.597306e-08,2.962451e-05
1.800000e+01,2.068322e-04,7.645352e+00,2.911930e-08,3.236428e-05
1.900000e+01,2.080751e-04,8.453978e+00,3.245905e-08,3.519401e-05
2.000000e+01,2.092844e-04,9.300984e+00,3.599408e-08,3.811218e-05
2.100000e+01,2.104628e-04,1.018601e+01,3.972614e-08,4.111741e-05
2.200000e+01,2.116128e-04,1.110868e+01,4.365694e-08,4.420838e-05
2.300000e+01,2.127365e-04,1.206862e+01,4.778814e-08,4.738390e-05
2.400000e+01,2.138358e-04,1.306546e+01,5.212140e-08,5.064283e-05
2.500000e+01,2.149124e-04,1.409882e+01,5.665833e-08,5.398411e-05
2.600000e+01,2.159678e-04,1.516831e+01,6.140054e-08,5.740674e-05
2.700000e+01,2.170034e-04,1.627354e+01,6.634960e-08,6.090980e-05
2.800000e+01,2.180205e-04,1.741413e+01,7.150707e-08,6.449238e-05
2.900000e+01,2.190201e-04,1.858967e+01,7.687448e-08,6.815366e-05
3.000000e+01,2.200033e-04,1.979978e+01,8.245335e-08,7.189285e-05
3.100000e+01,2.209711e-04,2.104406e+01,8.824519e-08,7.570919e-05
3.200000e+01,2.219242e-04,2.232210e+01,9.425149e-08,7.960197e-05
3.300000e+01,2.228635e-04,2.363352e+01,1.004737e-07,8.357051e-05
3.400000e+01,2.237897e-04,2.497790e+01,1.069133e-07,8.761416e-05
3.500000e+01,2.247035e-04,2.635485e+01,1.135718e-07,9.173231e-05
3.600000e+01,2.256055e-04,2.776397e+01,1.204506e-07,9.592437e-05
3.700000e+01,2.264963e-04,2.920485e+01,1.275510e-07,1.001898e-04
3.800000e+01,2.273764e-04,3.067709e+01,1.348746e-07,1.045280e-04
3.900000e+01,2.282463e-04,3.218029e+01,1.424228e-07,1.089385e-04
4.000000e+01,2.291065e-04,3.371405e+01,1.501969e-07,1.134208e-04
4.100000e+01,2.299575e-04,3.527796e+01,1.581983e-07,1.179744e-04
4.200000e+01,2.307996e-04,3.687163e+01,1.664285e-07,1.225989e-04
4.300000e+01,2.316333e-04,3.849466e+01,1.748888e-07,1.272938e-04
4.400000e+01,2.324588e-04,4.014665e+01,1.835806e-07,1.320587e-04
4.500000e+01,2.332767e-04,4.182719e+01,1.925053e-07,1.368932e-04
4.600000e+01,2.340870e-04,4.353590e+01,2.016642e-07,1.417970e-04
4.700000e+01,2.348903e-04,4.527238e+01,2.110587e-07,1.467696e-04
4.800000e+01,2.356867e-04,4.703624e+01,2.206902e-07,1.518106e-04
4.900000e+01,2.364766e-04,4.882708e+01,2.305600e-07,1.569198e-04
5.000000e+01,2.372602e-04,5.064452e+01,2.406694e-07,1.620969e-04
5.100000e+01,2.380377e-04,5.248817e+01,2.510199e-07,1.673414e-04
5.200000e+01,2.388095e-04,5.435765e+01,2.616128e-07,1.726530e-04
5.300000e+01,2.395756e-04,5.625256e+01,2.724493e-07,1.780315e-04
5.400000e+01,2.403363e-04,5.817254e+01,2.835310e-07,1.834767e-04
5.500000e+01,2.410919e-04,6.011720e+01,2.948590e-07,1.889881e-04
5.600000e+01,2.418425e-04,6.208616e+01,3.064347e-07,1.945655e-04
5.700000e+01,2.425883e-04,6.407906e+01,3.182596e-07,2.002087e-04
5.800000e+01,2.433294e-04,6.609552e+01,3.303348e-07,2.059174e-04
5.900000e+01,2.440661e-04,6.813518e+01,3.426618e-07,2.116913e-04
6.000000e+01,2.447985e-04,7.019766e+01,3.552419e-07,2.175303e-04
6.100000e+01,2.455268e-04,7.228261e+01,3.680764e-07,2.234341e-04
6.200000e+01,2.462511e-04,7.438967e+01,3.811667e-07,2.294025e-04
6.300000e+01,2.469715e-04,7.651849e+01,3.945140e-07,2.354352e-04
6.400000e+01,2.476882e-04,7.866869e+01,4.081198e-07,2.415321e-04
6.500000e+01,2.484013e-04,8.083995e+01,4.219854e-07,2.476929e-04
6.600000e+01,2.491110e-04,8.303191e+01,4.361121e-07,2.539175e-04
6.700000e+01,2.498173e-04,8.524422e+01,4.505012e-07,2.602056e-04
6.800000e+01,2.505204e-04,8.747655e+01,4.651542e-07,2.665572e-04
6.900000e+01,2.512204e-04,8.972856e+01,4.800723e-07,2.729720e-04
7.000000e+01,2.519174e-04,9.199990e+01,4.952569e-07,2.794498e-04
7.100000e+01,2.526115e-04,9.429027e+01,5.107093e-07,2.859905e-04
7.200000e+01,2.533028e-04,9.659931e+01,5.264308e-07,2.925939e-04
7.300000e+01,2.539914e-04,9.892672e+01,5.424230e-07,2.992598e-04
7.400000e+01,2.546774e-04,1.012722e+02,5.586870e-07,3.059882e-04
7.500000e+01,2.553608e-04,1.036353e+02,5.752242e-07,3.127788e-04
7.600000e+01,2.560419e-04,1.060159e+02,5.920361e-07,3.196316e-04
7.700000e+01,2.567206e-04,1.084136e+02,6.091239e-07,3.265464e-04
7.800000e+01,2.573971e-04,1.108280e+02,6.264890e-07,3.335230e-04
7.900000e+01,2.580713e-04,1.132590e+02,6.441328e-07,3.405613e-04
8.000000e+01,2.587435e-04,1.157061e+02,6.620567e-07,3.476613e-04
8.100000e+01,2.594136e-04,1.181691e+02,6.802620e-07,3.548227e-04
8.200000e+01,2.600818e-04,1.206477e+02,6.987501e-07,3.620456e-04
8.300000e+01,2.607481e-04,1.231416e+02,7.175223e-07,3.693297e-04
8.400000e+01,2.614126e-04,1.256506e+02,7.365802e-07,3.766749e-04
8.500000e+01,2.620753e-04,1.281742e+02,7.559250e-07,3.840812e-04
8.600000e+01,2.627364e-04,1.307124e+02,7.755582e-07,3.915485e-04
8.700000e+01,2.633958e-04,1.332646e+02,7.954811e-07,3.990766e-04
8.800000e+01,2.640536e-04,1.358308e+02,8.156951e-07,4.066655e-04
8.900000e+01,2.647100e-04,1.384107e+02,8.362017e-07,4.143150e-04
9.000000e+01,2.653649e-04,1.410039e+02,8.570022e-07,4.220252e-04
9.100000e+01,2.660184e-04,1.436102e+02,8.780981e-07,4.297959e-04
9.200000e+01,2.666706e-04,1.462294e+02,8.994907e-07,4.376269e-04
9.300000e+01,2.673215e-04,1.488611e+02,9.211815e-07,4.455184e-04
9.400000e+01,2.679711e-04,1.515052e+02,9.431720e-07,4.534701e-04
9.500000e+01,2.686196e-04,1.541614e+02,9.654635e-07,4.614820e-04
9.600000e+01,2.692670e-04,1.568295e+02,9.880575e-07,4.695540e-04
9.700000e+01,2.699132e-04,1.595091e+02,1.010955e-06,4.776861e-04
9.800000e+01,2.705585e-04,1.622001e+02,1.034159e-06,4.858782e-04
9.900000e+01,2.712027e-04,1.649022e+02,1.057669e-06,4.941303e-04
1.000000e+02,2.718460e-04,1.676153e+02,1.081487e-06,5.024422e-04
1.010000e+02,2.724884e-04,1.703390e+02,1.105615e-06,5.108140e-04
1.020000e+02,2.731299e-04,1.730731e+02,1.130054e-06,5.192456e-04
1.030000e+02,2.737706e-04,1.758175e+02,1.154806e-06,5.277369e-04
1.040000e+02,2.744105e-04,1.785719e+02,1.179872e-06,5.362878e-04
1.050000e+02,2.750497e-04,1.813360e+02,1.205254e-06,5.448984e-04
1.060000e+02,2.756882e-04,1.841097e+02,1.230953e-06,5.535687e-04
1.070000e+02,2.763261e-04,1.868928e+02,1.256970e-06,5.622984e-04
1.080000e+02,2.769633e-04,1.896851e+02,1.283308e-06,5.710877e-04
1.090000e+02,2.775999e-04,1.924863e+02,1.309967e-06,5.799364e-04
1.100000e+02,2.782360e-04,1.952962e+02,1.336949e-06,5.888447e-04
1.110000e+02,2.788716e-04,1.981147e+02,1.364256e-06,5.978123e-04
1.120000e+02,2.795066e-04,2.009416e+02,1.391889e-06,6.068393e-04
1.130000e+02,2.801413e-04,2.037767e+02,1.419850e-06,6.159256e-04
1.140000e+02,2.807755e-04,2.066197e+02,1.448140e-06,6.250713e-04
1.150000e+02,2.814093e-04,2.094705e+02,1.476761e-06,6.342763e-04
1.160000e+02,2.820428e-04,2.123289e+02,1.505714e-06,6.435406e-04
1.170000e+02,2.826760e-04,2.151948e+02,1.535001e-06,6.528642e-04
1.180000e+02,2.833089e-04,2.180679e+02,1.564623e-06,6.622470e-04
1.190000e+02,2.839415e-04,2.209481e+02,1.594583e-06,6.716890e-04
1.200000e+02,2.845739e-04,2.238352e+02,1.624881e-06,6.811903e-04
1.210000e+02,2.852061e-04,2.267291e+02,1.655519e-06,6.907508e-04
1.220000e+02,2.858382e-04,2.296295e+02,1.686499e-06,7.003704e-04
1.230000e+02,2.864701e-04,2.325364e+02,1.717823e-06,7.100493e-04
1.240000e+02,2.871018e-04,2.354495e+02,1.749491e-06,7.197873e-04
1.250000e+02,2.877335e-04,2.383687e+02,1.781506e-06,7.295846e-04
1.260000e+02,2.883652e-04,2.412938e+02,1.813869e-06,7.394410e-04
1.270000e+02,2.889968e-04,2.442248e+02,1.846582e-06,7.493565e-04
1.280000e+02,2.896284e-04,2.471613e+02,1.879647e-06,7.593313e-04
1.290000e+02,2.902600e-04,2.501034e+02,1.913064e-06,7.693652e-04
1.300000e+02,2.908916e-04,2.530508e+02,1.946837e-06,7.794583e-04
1.310000e+02,2.915234e-04,2.560034e+02,1.980965e-06,7.896106e-04
1.320000e+02,2.921552e-04,2.589611e+02,2.015452e-06,7.998221e-04
1.330000e+02,2.927871e-04,2.619237e+02,2.050299e-06,8.100928e-04
1.340000e+02,2.934192e-04,2.648911e+02,2.085507e-06,8.204227e-04
1.350000e+02,2.940514e-04,2.678632e+02,2.121079e-06,8.308118e-04
1.360000e+02,2.946839e-04,2.708398e+02,2.157015e-06,8.412602e-04
1.370000e+02,2.953165e-04,2.738208e+02,2.193318e-06,8.517678e-04
1.380000e+02,2.959494e-04,2.768060e+02,2.229989e-06,8.623347e-04
1.390000e+02,2.965825e-04,2.797954e+02,2.267030e-06,8.729609e-04
1.400000e+02,2.972159e-04,2.827889e+02,2.304443e-06,8.836464e-04
1.410000e+02,2.978496e-04,2.857862e+02,2.342229e-06,8.943912e-04
1.420000e+02,2.984836e-04,2.887874e+02,2.380391e-06,9.051953e-04
1.430000e+02,2.991180e-04,2.917922e+02,2.418929e-06,9.160589e-04
1.440000e+02,2.997527e-04,2.948006e+02,2.457846e-06,9.269818e-04
1.450000e+02,3.003878e-04,2.978124e+02,2.497144e-06,9.379641e-04
1.460000e+02,3.010233e-04,3.008276e+02,2.536825e-06,9.490059e-04
1.470000e+02,3.016592e-04,3.038461e+02,2.576889e-06,9.601072e-04
1.480000e+02,3.022956e-04,3.068676e+02,2.617339e-06,9.712680e-04
1.490000e+02,3.029324e-04,3.098922e+02,2.658177e-06,9.824883e-04
1.500000e+02,3.035697e-04,3.129197e+02,2.699405e-06,9.937683e-04
1.510000e+02,3.042075e-04,3.159501e+02,2.741024e-06,1.005108e-03
1.520000e+02,3.048458e-04,3.189832e+02,2.783036e-06,1.016507e-03
1.530000e+02,3.054847e-04,3.220189e+02,2.825443e-06,1.027966e-03
1.540000e+02,3.061241e-04,3.250572e+02,2.868248e-06,1.039484e-03
1.550000e+02,3.067641e-04,3.280979e+02,2.911451e-06,1.051063e-03
1.560000e+02,3.074047e-04,3.311410e+02,2.955055e-06,1.062701e-03
1.570000e+02,3.080459e-04,3.341864e+02,2.999061e-06,1.074399e-03
1.580000e+02,3.086877e-04,3.372340e+02,3.043472e-06,1.086157e-03
1.590000e+02,3.093302e-04,3.402836e+02,3.088289e-06,1.097975e-03
1.600000e+02,3.099734e-04,3.433353e+02,3.133515e-06,1.109852e-03
1.610000e+02,3.106172e-04,3.463890e+02,3.179151e-06,1.121790e-03
1.620000e+02,3.112617e-04,3.494445e+02,3.225199e-06,1.133788e-03
1.630000e+02,3.119070e-04,3.525017e+02,3.271662e-06,1.145846e-03
1.640000e+02,3.125529e-04,3.555607e+02,3.318541e-06,1.157964e-03
1.650000e+02,3.131997e-04,3.586213e+02,3.365837e-06,1.170143e-03
1.660000e+02,3.138471e-04,3.616835e+02,3.413554e-06,1.182382e-03
1.670000e+02,3.144954e-04,3.647471e+02,3.461693e-06,1.194681e-03
1.680000e+02,3.151445e-04,3.678122e+02,3.510256e-06,1.207040e-03
1.690000e+02,3.157944e-04,3.708786e+02,3.559245e-06,1.219460e-03
1.700000e+02,3.164451e-04,3.739463e+02,3.608663e-06,1.231941e-03
1.710000e+02,3.170967e-04,3.770152e+02,3.658510e-06,1.244482e-03
1.720000e+02,3.177491e-04,3.800853e+02,3.708790e-06,1.257083e-03
1.730000e+02,3.184024e-04,3.831564e+02,3.759504e-06,1.269746e-03
1.740000e+02,3.190566e-04,3.862286e+02,3.810654e-06,1.282469e-03
1.750000e+02,3.197118e-04,3.893017e+02,3.862243e-06,1.295253e-03
1.760000e+02,3.203678e-04,3.923757e+02,3.914273e-06,1.308098e-03
1.770000e+02,3.210248e-04,3.954505e+02,3.966745e-06,1.321003e-03
1.780000e+02,3.216828e-04,3.985262e+02,4.019662e-06,1.333970e-03
1.790000e+02,3.223417e-04,4.016025e+02,4.073026e-06,1.346998e-03
1.800000e+02,3.230016e-04,4.046796e+02,4.126839e-06,1.360087e-03
1.810000e+02,3.236626e-04,4.077572e+02,4.181103e-06,1.373238e-03
1.820000e+02,3.243245e-04,4.108355e+02,4.235821e-06,1.386449e-03
1.830000e+02,3.249875e-04,4.139142e+02,4.290995e-06,1.399722e-03
1.840000e+02,3.256515e-04,4.169934e+02,4.346626e-06,1.413057e-03
1.850000e+02,3.263166e-04,4.200730e+02,4.402717e-06,1.426453e-03
1.860000e+02,3.269828e-04,4.231530e+02,4.459270e-06,1.439910e-03
1.870000e+02,3.276501e-04,4.262334e+02,4.516288e-06,1.453430e-03
1.880000e+02,3.283184e-04,4.293140e+02,4.573772e-06,1.467011e-03
1.890000e+02,3.289879e-04,4.323948e+02,4.631726e-06,1.480654e-03
1.900000e+02,3.296586e-04,4.354758e+02,4.690150e-06,1.494359e-03
1.910000e+02,3.303304e-04,4.385570e+02,4.749049e-06,1.508125e-03
1.920000e+02,3.310033e-04,4.416383e+02,4.808423e-06,1.521954e-03
1.930000e+02,3.316775e-04,4.447196e+02,4.868275e-06,1.535846e-03
1.940000e+02,3.323528e-04,4.478010e+02,4.928607e-06,1.549799e-03
1.950000e+02,3.330293e-04,4.508823e+02,4.989423e-06,1.563815e-03
1.960000e+02,3.337071e-04,4.539636e+02,5.050723e-06,1.577893e-03
1.970000e+02,3.343861e-04,4.570448e+02,5.112511e-06,1.592034e-03
1.980000e+02,3.350664e-04,4.601259e+02,5.174789e-06,1.606237e-03
1.990000e+02,3.357479e-04,4.632069e+02,5.237559e-06,1.620503e-03
2.000000e+02,3.364307e-04,4.662876e+02,5.300824e-06,1.634832e-03
2.010000e+02,3.371148e-04,4.693681e+02,5.364586e-06,1.649224e-03
2.020000e+02,3.378002e-04,4.724483e+02,5.428848e-06,1.663679e-03
2.030000e+02,3.384869e-04,4.755283e+02,5.493611e-06,1.678197e-03
2.040000e+02,3.391750e-04,4.786079e+02,5.558879e-06,1.692778e-03
2.050000e+02,3.398644e-04,4.816872e+02,5.624654e-06,1.707422e-03
2.060000e+02,3.405552e-04,4.847661e+02,5.690938e-06,1.722130e-03
2.070000e+02,3.412474e-04,4.878445e+02,5.757735e-06,1.736902e-03
2.080000e+02,3.419409e-04,4.909226e+02,5.825045e-06,1.751736e-03
2.090000e+02,3.426359e-04,4.940002e+02,5.892873e-06,1.766635e-03
2.100000e+02,3.433323e-04,4.970772e+02,5.961221e-06,1.781597e-03
2.110000e+02,3.440301e-04,5.001538e+02,6.030090e-06,1.796624e-03
2.120000e+02,3.447293e-04,5.032298e+02,6.099484e-06,1.811714e-03
2.130000e+02,3.454301e-04,5.063052e+02,6.169406e-06,1.826868e-03
2.140000e+02,3.461323e-04,5.093801e+02,6.239857e-06,1.842087e-03
2.150000e+02,3.468359e-04,5.124543e+02,6.310841e-06,1.857370e-03
2.160000e+02,3.475411e-04,5.155279e+02,6.382361e-06,1.872717e-03
2.170000e+02,3.482478e-04,5.186008e+02,6.454418e-06,1.888129e-03
2.180000e+02,3.489561e-04,5.216731e+02,6.527015e-06,1.903606e-03
2.190000e+02,3.496658e-04,5.247446e+02,6.600156e-06,1.919147e-03
2.200000e+02,3.503772e-04,5.278154e+02,6.673843e-06,1.934753e-03
2.210000e+02,3.510901e-04,5.308855e+02,6.748079e-06,1.950425e-03
2.220000e+02,3.518046e-04,5.339548e+02,6.822866e-06,1.966161e-03
2.230000e+02,3.525206e-04,5.370233e+02,6.898208e-06,1.981963e-03
2.240000e+02,3.532383e-04,5.400911e+02,6.974106e-06,1.997830e-03
2.250000e+02,3.539577e-04,5.431580e+02,7.050564e-06,2.013762e-03
2.260000e+02,3.546786e-04,5.462241e+02,7.127585e-06,2.029760e-03
2.270000e+02,3.554012e-04,5.492893e+02,7.205171e-06,2.045824e-03
2.280000e+02,3.561255e-04,5.523536e+02,7.283326e-06,2.061954e-03
2.290000e+02,3.568515e-04,5.554171e+02,7.362052e-06,2.078150e-03
2.300000e+02,3.575792e-04,5.584797e+02,7.441352e-06,2.094411e-03
2.310000e+02,3.583085e-04,5.615414e+02,7.521228e-06,2.110739e-03
2.320000e+02,3.590396e-04,5.646021e+02,7.601685e-06,2.127134e-03
2.330000e+02,3.597724e-04,5.676619e+02,7.682725e-06,2.143594e-03
2.340000e+02,3.605070e-04,5.707208e+02,7.764350e-06,2.160122e-03
2.350000e+02,3.612433e-04,5.737787e+02,7.846564e-06,2.176716e-03
2.360000e+02,3.619815e-04,5.768356e+02,7.929370e-06,2.193377e-03
2.370000e+02,3.627214e-04,5.798915e+02,8.012771e-06,2.210105e-03
2.380000e+02,3.634631e-04,5.829465e+02,8.096769e-06,2.226900e-03
2.390000e+02,3.642066e-04,5.860004e+02,8.181369e-06,2.243763e-03
2.400000e+02,3.649520e-04,5.890533e+02,8.266572e-06,2.260693e-03
2.410000e+02,3.656992e-04,5.921051e+02,8.352382e-06,2.277690e-03
2.420000e+02,3.664482e-04,5.951560e+02,8.438803e-06,2.294755e-03
2.430000e+02,3.671992e-04,5.982057e+02,8.525837e-06,2.311888e-03
2.440000e+02,3.679520e-04,6.012544e+02,8.613487e-06,2.329089e-03
2.450000e+02,3.687067e-04,6.043021e+02,8.701757e-06,2.346359e-03
2.460000e+02,3.694634e-04,6.073486e+02,8.790650e-06,2.363696e-03
2.470000e+02,3.702220e-04,6.103941e+02,8.880168e-06,2.381102e-03
2.480000e+02,3.709825e-04,6.134385e+02,8.970316e-06,2.398576e-03
2.490000e+02,3.717450e-04,6.164818e+02,9.061097e-06,2.416119e-03
2.500000e+02,3.725094e-04,6.195240e+02,9.152513e-06,2.433731e-03
2.510000e+02,3.732759e-04,6.225650e+02,9.244569e-06,2.451412e-03
2.520000e+02,3.740443e-04,6.256050e+02,9.337267e-06,2.469162e-03
2.530000e+02,3.748148e-04,6.286438e+02,9.430610e-06,2.486981e-03
2.540000e+02,3.755873e-04,6.316814e+02,9.524603e-06,2.504870e-03
2.550000e+02,3.763618e-04,6.347180e+02,9.619248e-06,2.522828e-03
2.560000e+02,3.771384e-04,6.377534e+02,9.714549e-06,2.540856e-03
2.570000e+02,3.779171e-04,6.407876e+02,9.810510e-06,2.558954e-03
2.580000e+02,3.786978e-04,6.438207e+02,9.907133e-06,2.577123e-03
2.590000e+02,3.794807e-04,6.468526e+02,1.000442e-05,2.595361e-03
2.600000e+02,3.802657e-04,6.498834e+02,1.010238e-05,2.613670e-03
2.610000e+02,3.810528e-04,6.529130e+02,1.020101e-05,2.632049e-03
2.620000e+02,3.818420e-04,6.559414e+02,1.030032e-05,2.650499e-03
2.630000e+02,3.826334e-04,6.589687e+02,1.040031e-05,2.669020e-03
2.640000e+02,3.834270e-04,6.619947e+02,1.050099e-05,2.687612e-03
2.650000e+02,3.842228e-04,6.650196e+02,1.060235e-05,2.706275e-03
2.660000e+02,3.850208e-04,6.680433e+02,1.070440e-05,2.725010e-03
2.670000e+02,3.858210e-04,6.710658e+02,1.080715e-05,2.743816e-03
2.680000e+02,3.866235e-04,6.740872e+02,1.091060e-05,2.762694e-03
2.690000e+02,3.874282e-04,6.771073e+02,1.101474e-05,2.781644e-03
2.700000e+02,3.882351e-04,6.801262e+02,1.111960e-05,2.800665e-03
2.710000e+02,3.890444e-04,6.831440e+02,1.122516e-05,2.819759e-03
2.720000e+02,3.898559e-04,6.861605e+02,1.133144e-05,2.838926e-03
2.730000e+02,3.906698e-04,6.891759e+02,1.143844e-05,2.858165e-03
2.740000e+02,3.914860e-04,6.921900e+02,1.154615e-05,2.877477e-03
2.750000e+02,3.923045e-04,6.952029e+02,1.165459e-05,2.896862e-03
2.760000e+02,3.931254e-04,6.982147e+02,1.176376e-05,2.916319e-03
2.770000e+02,3.939486e-04,7.012252e+02,1.187367e-05,2.935851e-03
2.780000e+02,3.947743e-04,7.042345e+02,1.198431e-05,2.955455e-03
2.790000e+02,3.956023e-04,7.072427e+02,1.209569e-05,2.975134e-03
2.800000e+02,3.964328e-04,7.102496e+02,1.220781e-05,2.994886e-03
2.810000e+02,3.972657e-04,7.132553e+02,1.232069e-05,3.014712e-03
2.820000e+02,3.981011e-04,7.162598e+02,1.243432e-05,3.034613e-03
2.830000e+02,3.989389e-04,7.192631e+02,1.254870e-05,3.054588e-03
2.840000e+02,3.997793e-04,7.222652e+02,1.266385e-05,3.074637e-03
2.850000e+02,4.006221e-04,7.252661e+02,1.277976e-05,3.094761e-03
2.860000e+02,4.014674e-04,7.282658e+02,1.289644e-05,3.114961e-03
2.870000e+02,4.023153e-04,7.312642e+02,1.301389e-05,3.135235e-03
2.880000e+02,4.031657e-04,7.342615e+02,1.313212e-05,3.155585e-03
2.890000e+02,4.040187e-04,7.372576e+02,1.325114e-05,3.176011e-03
2.900000e+02,4.048743e-04,7.402525e+02,1.337094e-05,3.196512e-03
2.910000e+02,4.057324e-04,7.432461e+02,1.349153e-05,3.217089e-03
2.920000e+02,4.065932e-04,7.462386e+02,1.361291e-05,3.237742e-03
2.930000e+02,4.074566e-04,7.492299e+02,1.373510e-05,3.258472e-03
2.940000e+02,4.083227e-04,7.522200e+02,1.385808e-05,3.279279e-03
2.950000e+02,4.091914e-04,7.552088e+02,1.398188e-05,3.300162e-03
2.960000e+02,4.100628e-04,7.581965e+02,1.410649e-05,3.321122e-03
2.970000e+02,4.109370e-04,7.611830e+02,1.423192e-05,3.342159e-03
2.980000e+02,4.118138e-04,7.641683e+02,1.435816e-05,3.363274e-03
2.990000e+02,4.126934e-04,7.671525e+02,1.448524e-05,3.384467e-03
3.000000e+02,4.135757e-04,7.701354e+02,1.461314e-05,3.405737e-03
3.010000e+02,4.144608e-04,7.731172e+02,1.474188e-05,3.427085e-03
3.020000e+02,4.153487e-04,7.760977e+02,1.487146e-05,3.448512e-03
3.030000e+02,4.162393e-04,7.790771e+02,1.500189e-05,3.470017e-03
3.040000e+02,4.171328e-04,7.820554e+02,1.513316e-05,3.491601e-03
3.050000e+02,4.180292e-04,7.850324e+02,1.526529e-05,3.513263e-03
3.060000e+02,4.189284e-04,7.880083e+02,1.539828e-05,3.535005e-03
3.070000e+02,4.198305e-04,7.909830e+02,1.553213e-05,3.556826e-03
3.080000e+02,4.207355e-04,7.939565e+02,1.566685e-05,3.578727e-03
3.090000e+02,4.216434e-04,7.969289e+02,1.580245e-05,3.600708e-03
3.100000e+02,4.225542e-04,7.999001e+02,1.593892e-05,3.622769e-03
3.110000e+02,4.234680e-04,8.028702e+02,1.607627e-05,3.644909e-03
3.120000e+02,4.243847e-04,8.058391e+02,1.621452e-05,3.667131e-03
3.130000e+02,4.253044e-04,8.088069e+02,1.635366e-05,3.689433e-03
3.140000e+02,4.262272e-04,8.117735e+02,1.649369e-05,3.711816e-03
3.150000e+02,4.271529e-04,8.147390e+02,1.663463e-05,3.734281e-03
3.160000e+02,4.280817e-04,8.177033e+02,1.677648e-05,3.756826e-03
3.170000e+02,4.290136e-04,8.206665e+02,1.691924e-05,3.779454e-03
3.180000e+02,4.299485e-04,8.236285e+02,1.706293e-05,3.802163e-03
3.190000e+02,4.308866e-04,8.265894e+02,1.720753e-05,3.824955e-03
3.200000e+02,4.318278e-04,8.295492e+02,1.735307e-05,3.847829e-03
3.210000e+02,4.327721e-04,8.325079e+02,1.749954e-05,3.870785e-03
3.220000e+02,4.337196e-04,8.354655e+02,1.764695e-05,3.893825e-03
3.230000e+02,4.346702e-04,8.384219e+02,1.779531e-05,3.916947e-03
3.240000e+02,4.356241e-04,8.413772e+02,1.794462e-05,3.940153e-03
3.250000e+02,4.365811e-04,8.443314e+02,1.809489e-05,3.963443e-03
3.260000e+02,4.375414e-04,8.472845e+02,1.824611e-05,3.986817e-03
3.270000e+02,4.385050e-04,8.502365e+02,1.839831e-05,4.010274e-03
3.280000e+02,4.394719e-04,8.531874e+02,1.855148e-05,4.033816e-03
3.290000e+02,4.404420e-04,8.561372e+02,1.870563e-05,4.057443e-03
3.300000e+02,4.414155e-04,8.590859e+02,1.886076e-05,4.081155e-03
3.310000e+02,4.423923e-04,8.620336e+02,1.901689e-05,4.104952e-03
3.320000e+02,4.433725e-04,8.649801e+02,1.917401e-05,4.128834e-03
3.330000e+02,4.443561e-04,8.679256e+02,1.933213e-05,4.152802e-03
3.340000e+02,4.453431e-04,8.708700e+02,1.949126e-05,4.176856e-03
3.350000e+02,4.463335e-04,8.738133e+02,1.965141e-05,4.200996e-03
3.360000e+02,4.473273e-04,8.767555e+02,1.981257e-05,4.225223e-03
3.370000e+02,4.483247e-04,8.796967e+02,1.997477e-05,4.249536e-03
3.380000e+02,4.493255e-04,8.826369e+02,2.013799e-05,4.273937e-03
3.390000e+02,4.503298e-04,8.855759e+02,2.030225e-05,4.298425e-03
3.400000e+02,4.513377e-04,8.885140e+02,2.046756e-05,4.323000e-03
3.410000e+02,4.523491e-04,8.914509e+02,2.063392e-05,4.347663e-03
