case_id,direction_id,source_cutoff,source_ell,metric_frobenius_norm,metric_operator_norm,block_id
WIDE_N16_IDENTITY,Z,16,10,5.308348020640211,3.2364460924623653,sha256:eebba5111a7624d431457709d775b913a6c194d89056f1fabab9e2ec205eef42
WIDE_N16_IDENTITY,Z,16,11,5.867470677278532,5.4889720302261304,sha256:2130a69a04b3f2d745a25dae67025f10bb75cd0409c3bc96d5c30f3653699a19
WIDE_N16_IDENTITY,Z,16,12,10.393932722248172,10.291612880989103,sha256:c795c7d743eecc6aa6b664bc1cfbc9791c75275a010de8c016dfbf6c3bfbd2a5
WIDE_N16_IDENTITY,Z,16,13,7.610404056622682,7.2218499026805905,sha256:b351c10ad7ded5b58835e65d0da3de027a3d8304d6b895c0675ce458f351bb27
WIDE_N16_IDENTITY,Z,16,14,3.2651973610737453,2.0057272642606163,sha256:602472d6232d6295aab4ab94f4f0600dbd00512f67daecc299577419d6e88d60
WIDE_N16_IDENTITY,Z,16,15,3.465794242443771,3.0980890396992082,sha256:4a66fd3a122b9d019feef8b6e5be1e4b5f0b49bb1ea904ba59d850d674558d45
WIDE_N16_IDENTITY,Z,16,16,6.310999273869967,6.28609622463333,sha256:3b3e21781ba23747e2a07cd747aa22272a0e746a13c607c87fc4015c82bb8983
WIDE_N16_IDENTITY,D111,16,7,33.815344172403314,28.080368987478188,sha256:e90336fedfa71cf9fcb637941d974da19e29888ede549816aed80cbae2ba7b46
WIDE_N16_IDENTITY,D111,16,8,26.298485202794307,25.17894948263327,sha256:0ddb395040be91787467121b4bbdb83e76238e22693e7e7ecfb1140dfb52957e
WIDE_N16_IDENTITY,D111,16,9,13.082031763283158,11.834326170906152,sha256:9e41de42bbbb3a01e55b8bd63a7f56bd094179703ce3414eb8edaf7f563bfce7
WIDE_N16_IDENTITY,D111,16,10,7.358896910295487,7.074785737125982,sha256:eebba5111a7624d431457709d775b913a6c194d89056f1fabab9e2ec205eef42
WIDE_N16_IDENTITY,D111,16,11,7.02099116805899,6.843763775463287,sha256:2130a69a04b3f2d745a25dae67025f10bb75cd0409c3bc96d5c30f3653699a19
WIDE_N16_IDENTITY,D111,16,12,7.369629333703515,7.05113654545555,sha256:c795c7d743eecc6aa6b664bc1cfbc9791c75275a010de8c016dfbf6c3bfbd2a5
WIDE_N16_IDENTITY,D111,16,13,4.7807172952957435,4.477462248172206,sha256:b351c10ad7ded5b58835e65d0da3de027a3d8304d6b895c0675ce458f351bb27
WIDE_N16_IDENTITY,D111,16,14,4.291641842878336,4.123609785684299,sha256:602472d6232d6295aab4ab94f4f0600dbd00512f67daecc299577419d6e88d60
WIDE_N16_IDENTITY,D111,16,15,4.672803389498893,4.567028871571529,sha256:4a66fd3a122b9d019feef8b6e5be1e4b5f0b49bb1ea904ba59d850d674558d45
WIDE_N16_IDENTITY,D111,16,16,4.320068377907313,4.153564501122303,sha256:3b3e21781ba23747e2a07cd747aa22272a0e746a13c607c87fc4015c82bb8983
WIDE_N16_IDENTITY,D1M11,16,7,33.815344172403314,28.080368987478188,sha256:e90336fedfa71cf9fcb637941d974da19e29888ede549816aed80cbae2ba7b46
WIDE_N16_IDENTITY,D1M11,16,8,26.29848520279432,25.178949482633282,sha256:0ddb395040be91787467121b4bbdb83e76238e22693e7e7ecfb1140dfb52957e
WIDE_N16_IDENTITY,D1M11,16,9,13.082031763283169,11.834326170906166,sha256:9e41de42bbbb3a01e55b8bd63a7f56bd094179703ce3414eb8edaf7f563bfce7
WIDE_N16_IDENTITY,D1M11,16,10,7.358896910295463,7.07478573712596,sha256:eebba5111a7624d431457709d775b913a6c194d89056f1fabab9e2ec205eef42
WIDE_N16_IDENTITY,D1M11,16,11,7.020991168058983,6.843763775463279,sha256:2130a69a04b3f2d745a25dae67025f10bb75cd0409c3bc96d5c30f3653699a19
WIDE_N16_IDENTITY,D1M11,16,12,7.369629333703526,7.051136545455561,sha256:c795c7d743eecc6aa6b664bc1cfbc9791c75275a010de8c016dfbf6c3bfbd2a5
WIDE_N16_IDENTITY,D1M11,16,13,4.780717295295745,4.477462248172211,sha256:b351c10ad7ded5b58835e65d0da3de027a3d8304d6b895c0675ce458f351bb27
WIDE_N16_IDENTITY,D1M11,16,14,4.291641842878359,4.123609785684322,sha256:602472d6232d6295aab4ab94f4f0600dbd00512f67daecc299577419d6e88d60
WIDE_N16_IDENTITY,D1M11,16,15,4.672803389498929,4.567028871571565,sha256:4a66fd3a122b9d019feef8b6e5be1e4b5f0b49bb1ea904ba59d850d674558d45
WIDE_N16_IDENTITY,D1M11,16,16,4.3200683779073605,4.153564501122352,sha256:3b3e21781ba23747e2a07cd747aa22272a0e746a13c607c87fc4015c82bb8983
WIDE_N16_IDENTITY,D11M1,16,7,33.815344172403314,28.08036898747819,sha256:e90336fedfa71cf9fcb637941d974da19e29888ede549816aed80cbae2ba7b46
WIDE_N16_IDENTITY,D11M1,16,8,26.2984852027943,25.178949482633257,sha256:0ddb395040be91787467121b4bbdb83e76238e22693e7e7ecfb1140dfb52957e
WIDE_N16_IDENTITY,D11M1,16,9,13.082031763283172,11.834326170906166,sha256:9e41de42bbbb3a01e55b8bd63a7f56bd094179703ce3414eb8edaf7f563bfce7
WIDE_N16_IDENTITY,D11M1,16,10,7.358896910295456,7.074785737125949,sha256:eebba5111a7624d431457709d775b913a6c194d89056f1fabab9e2ec205eef42
WIDE_N16_IDENTITY,D11M1,16,11,7.02099116805899,6.8437637754632865,sha256:2130a69a04b3f2d745a25dae67025f10bb75cd0409c3bc96d5c30f3653699a19
WIDE_N16_IDENTITY,D11M1,16,12,7.369629333703525,7.05113654545556,sha256:c795c7d743eecc6aa6b664bc1cfbc9791c75275a010de8c016dfbf6c3bfbd2a5
WIDE_N16_IDENTITY,D11M1,16,13,4.780717295295751,4.477462248172216,sha256:b351c10ad7ded5b58835e65d0da3de027a3d8304d6b895c0675ce458f351bb27
WIDE_N16_IDENTITY,D11M1,16,14,4.291641842878364,4.1236097856843275,sha256:602472d6232d6295aab4ab94f4f0600dbd00512f67daecc299577419d6e88d60
WIDE_N16_IDENTITY,D11M1,16,15,4.672803389498915,4.567028871571549,sha256:4a66fd3a122b9d019feef8b6e5be1e4b5f0b49bb1ea904ba59d850d674558d45
WIDE_N16_IDENTITY,D11M1,16,16,4.320068377907365,4.1535645011223545,sha256:3b3e21781ba23747e2a07cd747aa22272a0e746a13c607c87fc4015c82bb8983
