case_id,source_ell,frobenius_fraction,weak_mode_weight
FULL_IDENTITY,1,0.012195112457471867,0.9999993405254802
FULL_IDENTITY,2,0.04115850459828,7.419708213120054e-30
FULL_IDENTITY,3,0.13871940422134552,3.888064336486487e-13
FULL_IDENTITY,4,0.2881095321887091,8.19712160076784e-31
FULL_IDENTITY,5,0.19054886536598759,6.594741308106647e-07
FULL_IDENTITY,6,0.3292685811682061,5.251993426288014e-30
BINARY_Z_IDENTITY,1,3.073074974800637e-06,0.32218743546676176
BINARY_Z_IDENTITY,2,1.0371598708303213e-05,0.38880209943205907
BINARY_Z_IDENTITY,3,3.495618298595765e-05,0.22303965634250253
BINARY_Z_IDENTITY,4,7.260121839811061e-05,0.056911076324025936
BINARY_Z_IDENTITY,5,0.048301416207327086,0.008682660115450578
BINARY_Z_IDENTITY,6,0.9515775817176058,0.00037707231919784025
APODIZED_Z_NARROW_IDENTITY,1,1.0148172612934708e-05,0.23459073418258689
APODIZED_Z_NARROW_IDENTITY,2,3.42500364057871e-05,0.3820090102860619
APODIZED_Z_NARROW_IDENTITY,3,0.00011543539115777896,0.27732284974453275
APODIZED_Z_NARROW_IDENTITY,4,0.00023975028873598713,0.08640458691583913
APODIZED_Z_NARROW_IDENTITY,5,0.07454642392528421,0.01840921139809288
APODIZED_Z_NARROW_IDENTITY,6,0.9250539921858032,0.0012636074728853836
APODIZED_Z_REFERENCE_IDENTITY,1,6.710538248100236e-05,0.14420838572291428
APODIZED_Z_REFERENCE_IDENTITY,2,0.00022648059301360297,0.3368268042003038
APODIZED_Z_REFERENCE_IDENTITY,3,0.000763323635776992,0.3264869194950933
APODIZED_Z_REFERENCE_IDENTITY,4,0.001585364238281283,0.1380039591548926
APODIZED_Z_REFERENCE_IDENTITY,5,0.15223661933135108,0.0473468675577282
APODIZED_Z_REFERENCE_IDENTITY,6,0.8451211068190961,0.007127063869068358
APODIZED_Z_WIDE_IDENTITY,1,0.0020004454271356767,0.8382560945942907
APODIZED_Z_WIDE_IDENTITY,2,0.0067515030610374146,0.15129218982608192
APODIZED_Z_WIDE_IDENTITY,3,0.02275506647139019,0.006200940518420837
APODIZED_Z_WIDE_IDENTITY,4,0.0472605216417556,0.0014834930554698225
APODIZED_Z_WIDE_IDENTITY,5,0.5253230085205193,0.002642404905768052
APODIZED_Z_WIDE_IDENTITY,6,0.3959094548781619,0.00012487709996847527
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,1,9.035964458341658e-05,0.12010430122557651
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,2,0.0002937393486268125,0.324077364982314
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,3,0.0009672773986876511,0.33932194093133455
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,4,0.001911478090682096,0.14993359153464314
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,5,0.16385538761778864,0.057100276268526304
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,6,0.8328817578996313,0.009462525057606948
APODIZED_Z_REFERENCE_GAUSSIAN,1,9.289712847745769e-05,0.11806232013499515
APODIZED_Z_REFERENCE_GAUSSIAN,2,0.00028878653502990766,0.32402628269656253
APODIZED_Z_REFERENCE_GAUSSIAN,3,0.0009269995086317456,0.34256654964588773
APODIZED_Z_REFERENCE_GAUSSIAN,4,0.0017293142927708673,0.14830452882511796
APODIZED_Z_REFERENCE_GAUSSIAN,5,0.1622987957848109,0.05751049751468476
APODIZED_Z_REFERENCE_GAUSSIAN,6,0.8346632067502792,0.009529821182751894
