nside,processing_lmax,max_spectrum_relative_error,trace_relative_error,ell6_alias_to_neighbor,monopole_replay_relative
8,7,0.008680242294546078,1.322087213967562e-05,0.005338691597063241,8.160726393850054e-08
16,7,0.002046596192207331,7.773862386338029e-07,0.0012858036872875744,3.0712363307449986e-10
32,7,0.0005044222400671135,4.7869656986299895e-08,0.0003186572050711876,1.1889667945672018e-12
32,12,0.0005044222483930562,4.786060692478669e-08,0.0003186572050547884,1.2242723741692459e-11
