case_id,nside,processing_lmax,mask_kind,transfer_kind,jacobian_content_id,operator_id,metric_whitened_rank,metric_whitened_condition,metric_whitened_nonzero_condition,fullsky_spectrum_max_relative_error,fullsky_trace_relative_error,fullsky_null_relative,ell6_neighbor_norm,ell6_alias_norm,ell6_decomposition_norm,ell6_alias_to_neighbor,monopole_replay_metric_norm,monopole_relative_to_nonmonopole_max
FULL_N8_L7_IDENTITY,8,7,FULL,IDENTITY,sha256:0c9ab168768e8e3ad7be87273e89fd30ebf23c8f55d2572ea814351db178e696,sha256:9186e58547d0fdec93648a4e791d84e6946e16b0d7be8713b65c9c5672eb0aac,48,INF,2.8063831594817854,0.008680242294545861,1.3220872139502317e-05,0.0,14.696938029345578,0.07846241955982654,1.7937079412335746e-06,0.005338691597063249,1.1753098840796993e-07,8.160726377524852e-08
FULL_N16_L7_IDENTITY,16,7,FULL,IDENTITY,sha256:7421f4063e338fba40b77b142e19edbc3668a3c0b9a48fc788da8c97478025ab,sha256:f87caf2dde52739f37d15fa129060af976b2ba43fa02faf544c39683b3f1dfcf,48,INF,2.806251602938082,0.0020465961922068953,7.773862391537123e-07,0.0,14.696938455135163,0.018897377657451416,6.610286415199744e-09,0.0012858036872875796,4.423203272595481e-10,3.071238192871706e-10
FULL_N32_L7_IDENTITY,32,7,FULL,IDENTITY,sha256:d8dbf7fc3cd02d552f5697063eede82cc405aa7ae55bd5d927d7e89dd03aacb3,sha256:e7c3d8d01c6737e22aa0a50e7ebe8d23265e1348f2586819180a2db9de99f30f,48,INF,2.8062435720764345,0.0005044222400671135,4.7869657159603e-08,0.0,14.69693845669303,0.004683285331713094,2.5448668545401282e-11,0.0003186572050711903,1.712539985082084e-12,1.1890970863251343e-12
FULL_N32_L12_IDENTITY,32,12,FULL,IDENTITY,sha256:2e02cf27cd37c84afb9196229447ff2c19f36614ff0970119ee184f7e6c5cbd3,sha256:58712948367f94851097c6073ab04a4a0184fcaa21124d41a5c856a034f7e7d6,48,INF,2.8062435720590613,0.0005044222483921846,4.7860607098089795e-08,0.0,14.696938456638788,0.004683285331454525,2.576180153007469e-10,0.000318657205054773,1.7632099651180697e-11,1.2242796732790113e-11
CUT_N16_L12_REFERENCE,16,12,APODIZED_Z,REFERENCE_GAUSSIAN,sha256:f6914ee7f290d95cb5082aebbf1df264c2ee577db30c7d6cea6d0c39c2de002e,sha256:09c403b6337f9dd60b4075970c7e0d1d3a8b102c24e58084362b4f465f242f9e,48,INF,407.91494703040064,,,0.0,11.96683654595687,257.0276355925093,6.636077469024686e-07,21.478327593548435,1.8723149518873973e-07,3.6987437013022047e-09
