direction_id,lower_cutoff,upper_cutoff,lower_high_rank,upper_high_rank,lower_surviving_rank,upper_surviving_rank,lower_surviving_fraction,upper_surviving_fraction,upper_last_frobenius_fraction,upper_last_operator_fraction
X,12,16,32,32,0,0,4.998705839199789e-16,5.64111008177341e-16,0.08334652821519774,0.07606160719743431
Y,12,16,32,32,0,0,8.213490659131999e-16,6.9492012733637855e-16,0.08334652821519072,0.07606160719742437
Z,12,16,32,32,0,0,6.362754536889061e-16,8.996798869953113e-16,0.09502390718738116,0.10566980675413204
D111,12,16,32,32,0,0,8.5847072635704e-16,5.866840123104655e-16,0.09116101257547332,0.09882884169024879
D1M11,12,16,32,32,0,0,6.131093966666352e-16,5.334000177154365e-16,0.09116101257547432,0.09882884169024994
D11M1,12,16,32,32,0,0,6.082597337926797e-16,7.888245572890078e-16,0.09116101257547442,0.09882884169025005
