case_id,nside,processing_lmax,direction_id,source_cutoff,low_rank,high_rank,surviving_rank,surviving_frobenius_fraction,minimum_principal_angle_degrees,maximum_principal_angle_degrees,last_block_frobenius_fraction,last_block_operator_fraction,numerical_floor_control,content_id
WIDE_N32_IDENTITY,32,13,D111,12,32,32,0,5.341079953317922e-16,0.0,1.9090959104164224e-06,0.15629069828530104,0.16902759285893496,0,sha256:f74cbcdd36cebafe756e432a18ba9135db9a89828fd559da344453598a4f562c
WIDE_N32_IDENTITY,32,13,D1M11,12,32,32,0,5.043449217019007e-16,0.0,2.2588727439225506e-06,0.15629069828530084,0.16902759285893482,0,sha256:8ff10292cba0cf807fd8b1959dbd16fc5cb96cd575a26adfa6ae91a8216892a3
WIDE_N32_IDENTITY,32,13,D11M1,12,32,32,0,5.61445103927584e-16,0.0,1.9090959104164224e-06,0.1562906982853015,0.1690275928589355,0,sha256:7bf0737d6fdb2e87c0509369f1c9f733f824aae1f9323c55ff70f17a96166d92
FULL_N16_IDENTITY,16,13,X,12,32,32,0,8.824561769169915e-16,0.0,2.2588727439225506e-06,0.5550692715463087,0.7032804794555634,0,sha256:c43aac5e35d208b62a7d4b6743db2f7c1cdbdf758f2fb341528cdf27d05f0336
FULL_N16_IDENTITY,16,13,Y,12,32,32,0,9.952395908426985e-16,0.0,1.7075472925031877e-06,0.5550692715463031,0.7032804794555594,0,sha256:822bb29dd1b8c6837facda653b307b94f80d84d4245e868215bcd71dfe46c8e4
FULL_N16_IDENTITY,16,13,Z,12,32,32,0,9.820805124751216e-16,0.0,1.2074182697257333e-06,0.5825350499854492,0.8100794000759898,0,sha256:8f33e39bde5ea8f58de614c44e3b98340db67c4c9023d049d5c379c99fbf106f
FULL_N16_IDENTITY,16,13,D111,12,32,32,0,8.771831023685954e-16,0.0,1.9090959104164224e-06,0.5558750146603506,0.7054703481872623,0,sha256:d667f10a618c9640cad5b72e35705aa9dd6c6fa550779376b9e937b3f1189961
FULL_N16_IDENTITY,16,13,D1M11,12,32,32,0,1.1998828732228756e-15,0.0,1.9090959104164224e-06,0.5558750146603507,0.705470348187262,0,sha256:c4bbfdc20eb27801ff453cf7514042cc2ff4ddc4126681bf71ccc31e2f0ec8a7
FULL_N16_IDENTITY,16,13,D11M1,12,32,32,0,9.87165447635438e-16,0.0,1.7075472925031877e-06,0.555875014660351,0.705470348187263,0,sha256:a27691b77f79c0188f9af8bc7e8bae0d5e10de37985f1eea942e0fbf6ca62ed7
REFERENCE_N16_GAUSSIAN,16,13,X,12,32,32,0,8.274277244155608e-16,0.0,2.2588727439225506e-06,0.09699102243309705,0.08219610303183618,0,sha256:d8d5428c6989205d0298eb1d4bfc35c426770d927da5cd6690c5d29f26777422
REFERENCE_N16_GAUSSIAN,16,13,Y,12,32,32,0,5.632358567292741e-16,0.0,1.7075472925031877e-06,0.09699102243307134,0.08219610303180078,0,sha256:dc5e3767b967738d79de93d6c96ef993680c58ff7042d52d5b1ef80098344e0e
REFERENCE_N16_GAUSSIAN,16,13,Z,12,32,32,0,3.272766184940184e-16,0.0,2.699869328381916e-06,0.24028002545588495,0.24573536433185827,0,sha256:3b38bf97ff5f48aba20c0f5597ee9b7ac4c4ebd71ee6ceb4045072ca0b5a11e4
REFERENCE_N16_GAUSSIAN,16,13,D111,12,32,32,0,8.423745542092846e-16,0.0,1.4787793334710982e-06,0.20721568409960964,0.2095861574252657,0,sha256:d919de874c11d0d1d452f8874c14ad1d4efe2ae9fdea831a3af1bfc0d021bb26
REFERENCE_N16_GAUSSIAN,16,13,D1M11,12,32,32,0,8.731335386647318e-16,0.0,0.0,0.20721568409960808,0.20958615742526393,0,sha256:9b7a0d2a080e50fa63604013b42f2ad35c3dda62e07e3bf1cd2eb24866d7a997
REFERENCE_N16_GAUSSIAN,16,13,D11M1,12,32,32,0,4.907981203673439e-16,0.0,2.091309789151873e-06,0.20721568409960614,0.20958615742526157,0,sha256:dc57cfba58f71a9737aac0eea3e1de03a7fa9e1e3fe034d09eced79433be063a
