tail_registry,reducer,global_rank_numerator,rank_denominator
LEGACY_ALL_TWO_SIDED_V1,LEGACY_ABSOLUTE_MEDIAN_V1,98,301
LEGACY_ALL_TWO_SIDED_V1,LOO_ECDF_MIDRANK_V1,148,301
REGISTERED_PHYSICS_ORIENTED_SCALAR_V1,LEGACY_ABSOLUTE_MEDIAN_V1,98,301
REGISTERED_PHYSICS_ORIENTED_SCALAR_V1,LOO_ECDF_MIDRANK_V1,93,301
