gate,normalized_margin
highres_spectrum,0.8407037473206709
highres_trace,0.4786965681299679
condition_oracle,0.18957587449941923
spectrum_convergence,0.8626410265766433
alias_convergence,0.8673954109603615
matrix_convergence,0.8402751742066745
processing_cutoff,0.002570428382730538
highres_alias,0.7966430126779673
cut_alias_detection,0.0007352274635503653
monopole_replay,7.3982678356629035e-06
finite_slope,0.007409656961903099
fwl_parity,0.24302782009044677
historical_parity,7.376653879098272e-05
sign_kill,0.7500529261342505
transfer_order_kill,2.4879620768088273e-07
