case_id,nside,processing_lmax,mask_kind,transfer_kind,jacobian_content_id,operator_id,metric_whitened_rank,metric_whitened_condition,metric_whitened_nonzero_condition,fullsky_spectrum_max_relative_error,fullsky_trace_relative_error,fullsky_null_relative,ell6_neighbor_norm,ell6_alias_norm,ell6_decomposition_norm,ell6_alias_to_neighbor,monopole_replay_metric_norm,monopole_relative_to_nonmonopole_max
FULL_N8_L7_IDENTITY,8,7,FULL,IDENTITY,sha256:548108ea40adf8fa7d08ec4cc27c7d40590dba2e380315e959014b2f653f6f88,sha256:f69fd7e984408c89f854e063178285d110aa8fcb8f521e1d1e3928e061988a28,48,INF,2.806383159481784,0.008680242294546078,1.322087213967562e-05,0.0,14.696938029345572,0.0784624195598264,1.7937079414726132e-06,0.005338691597063241,1.175309886430515e-07,8.160726393850054e-08
FULL_N16_L7_IDENTITY,16,7,FULL,IDENTITY,sha256:6d8737af29063ddaac604917d7240f3886581842d15c6168a08d314a48edb1a1,sha256:2c7c513360738d8a6ba80cf476ea5cce8980db0adb42ef74c166b228b4ab7ec0,48,INF,2.8062516029380804,0.0020465961922088564,7.77386238807106e-07,0.0,14.696938455135163,0.018897377657451347,6.610286571045245e-09,0.0012858036872875748,4.423201606862895e-10,3.0712370358601543e-10
FULL_N32_L7_IDENTITY,32,7,FULL,IDENTITY,sha256:5ff7cd6ad0a1d2e70fca2f4e1a4574ab6ba2ae2d2a64c7ee6c934985c9812073,sha256:4f3b3add7de6535168183ba9e05bbff2af25df9cc00339572fbd6ecbf18605cd,48,INF,2.8062435720764345,0.0005044222400671135,4.786965681299679e-08,0.0,14.696938456693033,0.004683285331713046,2.5448811654947907e-11,0.00031865720507118694,1.7122886091835219e-12,1.188922562955287e-12
FULL_N32_L12_IDENTITY,32,12,FULL,IDENTITY,sha256:d2c4d1c4b23518b109ebad1b01f5e00e1dd498c4dadb4f89a42450d56b7673fd,sha256:894640861edfe6c744b33113c123ab7ac827c655219592cfbaeaddcfde61f8a5,48,INF,2.8062435720590613,0.0005044222483924025,4.786060675148358e-08,0.0,14.696938456638794,0.004683285331454742,2.5761757018100037e-10,0.0003186572050547876,1.7631930738582797e-11,1.2242679452929502e-11
CUT_N16_L12_REFERENCE,16,12,APODIZED_Z,REFERENCE_GAUSSIAN,sha256:9c0651e359b704c8859991c39f6a670d66e8321d675770b123ac6b2146fd764c,sha256:57da503cff7c938407fcf0227e03bfe3e817502cbd4936ff9bec81e4d8f36602,48,INF,407.9149470169203,,,0.0,11.96683654595653,257.0276355863687,6.636155458409787e-07,21.478327593035914,1.8725124805662557e-07,3.6991339178314516e-09
