nside,processing_lmax,max_spectrum_relative_error,trace_relative_error,ell6_alias_to_neighbor,monopole_replay_relative
8,7,0.008680242294546078,1.322087213967562e-05,0.005338691597063241,8.160726393850054e-08
16,7,0.0020465961922088564,7.77386238807106e-07,0.0012858036872875748,3.0712370358601543e-10
32,7,0.0005044222400671135,4.786965681299679e-08,0.00031865720507118694,1.188922562955287e-12
32,12,0.0005044222483924025,4.786060675148358e-08,0.0003186572050547876,1.2242679452929502e-11
