amplitude,residual_norm,residual_over_beta_squared
0.032,0.0026361904210272344,2.574404708034409
0.016,0.0006586034010378171,2.572669535303973
0.008,0.00016451689184710438,2.570576435111006
0.004,4.106081937866858e-05,2.5663012111667864
