descending_index,exact,full_n8_l7,full_n16_l7,full_n32_l7,full_n32_l12,structural_null
1,4.58257569495584,4.582723799250301,4.582584729620381,4.582576255865479,4.582576255793384,False
2,4.58257569495584,4.582723799250301,4.582584729620376,4.582576255865475,4.582576255793375,False
3,4.58257569495584,4.582611448463428,4.582577829111168,4.582575826928616,4.582575826921443,False
4,4.58257569495584,4.582580257254176,4.58257597054439,4.582575712044525,4.5825757120445205,False
5,4.58257569495584,4.582580238528056,4.582575970539725,4.582575712044523,4.5825757120445125,False
6,4.58257569495584,4.582579013676096,4.582575899410123,4.582575707687577,4.5825757076875755,False
7,4.58257569495584,4.582579013676095,4.582575899410122,4.582575707687575,4.582575707687571,False
8,4.58257569495584,4.582576718256463,4.582575733467971,4.5825756971998315,4.582575697199836,False
9,4.58257569495584,4.582576160593482,4.582575731405793,4.582575697191892,4.5825756971918885,False
10,4.076197322920545,4.1115797033238755,4.084539652840326,4.078253447505128,4.078253447539064,False
11,4.076197322920545,4.081413390815913,4.077017661630048,4.076389185654341,4.076389185654346,False
12,4.076197322920545,4.078348922346933,4.076967129859291,4.076388385453407,4.076388385453403,False
13,4.076197322920545,4.076885849712933,4.076357215866859,4.076236575858114,4.0762365758581085,False
14,4.076197322920545,4.076885849712923,4.076357215866853,4.076236575858112,4.0762365758581005,False
15,4.076197322920545,4.076428973081856,4.0762559569736,4.076212025257072,4.07621202525707,False
16,4.076197322920545,4.076428425501812,4.076255956938605,4.076212025257062,4.0762120252570595,False
17,4.076197322920545,4.0755576811806575,4.076039247556018,4.076158768357886,4.076158768357878,False
18,4.076197322920545,4.075557681180642,4.076039247556013,4.076158768357882,4.076158768357876,False
19,4.076197322920545,4.074573251758753,4.075805635334899,4.0761007396295765,4.0761007396295765,False
20,4.076197322920545,4.074499955670486,4.075805556539127,4.076100739550793,4.0761007395507995,False
21,4.076197322920545,4.056282477930102,4.071566999234777,4.0750592651495126,4.075059265035012,False
22,4.076197322920545,4.056282477930101,4.071566999234776,4.07505926514951,4.07505926503501,False
23,3.605551275463989,3.6056565554052433,3.605557928539734,3.6055516922396276,3.6055516921670794,False
24,3.605551275463989,3.605656555405243,3.6055579285397306,3.6055516922396245,3.605551692167078,False
25,3.605551275463989,3.6056476708893945,3.605556698742845,3.605551606123397,3.6055516061123143,False
26,3.605551275463989,3.6055591328392,3.605551753254794,3.605551305119353,3.605551305119352,False
27,3.605551275463989,3.605559132839181,3.605551753254793,3.6055513051193526,3.605551305119347,False
28,3.605551275463989,3.6055525442263736,3.6055513453132657,3.6055512797757308,3.6055512797757165,False
29,3.605551275463989,3.605552280460824,3.605551344287008,3.605551279771725,3.605551279771718,False
30,3.3709993123162105,3.392545171737904,3.3762226737581975,3.372295316391392,3.372295316439512,False
31,3.3709993123162105,3.373469591697862,3.3714269870140265,3.3711007519363467,3.3711007519363263,False
32,3.3709993123162105,3.3723288133918086,3.3714084694520565,3.3711004598414362,3.371100459841418,False
33,3.3709993123162105,3.371406493477754,3.3710908937481916,3.371021669332492,3.3710216693324937,False
34,3.3709993123162105,3.3713955363695125,3.3710908824082932,3.3710216693212494,3.3710216693212516,False
35,3.3709993123162105,3.3713208886614003,3.3710794435999256,3.3710193266620143,3.3710193266620108,False
36,3.3709993123162105,3.371320888661399,3.3710794435999234,3.371019326662004,3.3710193266620085,False
37,3.3709993123162105,3.3688067843033194,3.370480738179966,3.3708716748067076,3.370871674806702,False
38,3.3709993123162105,3.3688067843033176,3.370480738179964,3.3708716748067036,3.3708716748067014,False
39,3.3709993123162105,3.3597654036883395,3.3683142420222887,3.3703351681195266,3.3703351679818865,False
40,3.3709993123162105,3.3597654036883373,3.3683142420222882,3.370335168119507,3.3703351679818843,False
41,2.32379000772445,2.3237895593427953,2.3237899796882364,2.3237900059769383,2.3237900059769423,False
42,2.32379000772445,2.323789544409995,2.323789979623599,2.3237900059766847,2.3237900059766883,False
43,2.32379000772445,2.3237721119509755,2.323788949093409,2.3237899423696997,2.323789942355296,False
44,2.32379000772445,2.3237721119509716,2.323788949093408,2.323789942369698,2.3237899423552957,False
45,2.32379000772445,2.3237293309572946,2.3237862806195677,2.3237897757565182,2.3237897757424975,False
46,1.632993161855452,1.6329879493875297,1.632992848654878,1.6329931424587483,1.6329931424507604,False
47,1.632993161855452,1.6329879493875294,1.6329928486548766,1.632993142458745,1.6329931424507598,False
48,1.632993161855452,1.6329644025146335,1.6329913984984528,1.632993052158575,1.6329930521429938,False
49,0.0,0.0,0.0,0.0,0.0,True
