label,tracer,cap,ra,dec,z,bin_lo,bin_hi,n_in_bin,selected_weight,selection_note
BGS_NGC_z0.03_0.06,BGS_ANY,NGC,199.811767578125,31.18071174621582,0.046963099390268326,0.03,0.06,122365,0.41906818747520447,Representative target near weighted angular centroid and weighted-median z for BGS NGC low-z bin
BGS_NGC_z0.06_0.09,BGS_ANY,NGC,196.52012634277344,31.449262619018555,0.07656507194042206,0.06,0.09,229107,0.6555243730545044,Representative target near weighted angular centroid and weighted-median z for BGS NGC low-z bin
BGS_NGC_z0.09_0.12,BGS_ANY,NGC,196.2478485107422,32.3695068359375,0.10575328767299652,0.09,0.12,277196,0.6555243730545044,Representative target near weighted angular centroid and weighted-median z for BGS NGC low-z bin
BGS_NGC_z0.12_0.15,BGS_ANY,NGC,196.68321228027344,32.61906814575195,0.13736115396022797,0.12,0.15,345057,1.6007918119430542,Representative target near weighted angular centroid and weighted-median z for BGS NGC low-z bin
BGS_SGC_z0.03_0.06,BGS_ANY,SGC,6.165474891662598,3.5767033100128174,0.04401221126317978,0.03,0.06,43673,0.4161282181739807,Representative target near weighted angular centroid and weighted-median z for BGS SGC low-z bin
BGS_SGC_z0.06_0.09,BGS_ANY,SGC,1.9404512643814087,4.182412147521973,0.0768493115901947,0.06,0.09,74500,0.6453234553337097,Representative target near weighted angular centroid and weighted-median z for BGS SGC low-z bin
BGS_SGC_z0.09_0.12,BGS_ANY,SGC,1.2176599502563477,5.576724529266357,0.10534816980361938,0.09,0.12,87088,0.8350810408592224,Representative target near weighted angular centroid and weighted-median z for BGS SGC low-z bin
BGS_SGC_z0.12_0.15,BGS_ANY,SGC,3.9771511554718018,5.572453498840332,0.13669224083423615,0.12,0.15,125400,0.4174361824989319,Representative target near weighted angular centroid and weighted-median z for BGS SGC low-z bin
