nside,processing_lmax,max_spectrum_relative_error,trace_relative_error,ell6_alias_to_neighbor,monopole_replay_relative
8,7,0.008680242294545861,1.3220872139502317e-05,0.005338691597063249,8.160726377524852e-08
16,7,0.0020465961922068953,7.773862391537123e-07,0.0012858036872875796,3.071238192871706e-10
32,7,0.0005044222400671135,4.7869657159603e-08,0.0003186572050711903,1.1890970863251343e-12
32,12,0.0005044222483921846,4.7860607098089795e-08,0.000318657205054773,1.2242796732790113e-11
