family_id,role,feature_count,global_rank_numerator,global_rank_denominator,global_rank_fraction,global_rank_decimal,minimum_feature_ids,minimum_rank_fraction,observation_row_score,row_permutation_equivariant,comparison_interpretation
GENERIC_12,frozen generic twelve-feature benchmark control,12,133,301,133/301,0.44186046511627908,multipole_l3_absdot_0,16/301,2.9345215425090942,True,DESCRIPTIVE_PAIRED_OPERATOR_SENSITIVITY_NOT_INDEPENDENT_TESTS
RAW_REDUCED_10,isolates removal of raw C4 and C5,10,110,301,110/301,0.36544850498338871,multipole_l3_absdot_0,16/301,2.9345215425090942,True,DESCRIPTIVE_PAIRED_OPERATOR_SENSITIVITY_NOT_INDEPENDENT_TESTS
EPS_REDUCED_10,isolates the C_l-to-dimensionless-amplitude transformation,10,109,301,109/301,0.36212624584717606,multipole_l3_absdot_0,16/301,2.9345215425090942,True,DESCRIPTIVE_PAIRED_OPERATOR_SENSITIVITY_NOT_INDEPENDENT_TESTS
MES_10,primary typed squared MES-ceiling plus morphology family,10,98,301,98/301,0.32558139534883723,multipole_l3_absdot_0,16/301,2.9345215425090942,True,DESCRIPTIVE_PAIRED_OPERATOR_SENSITIVITY_NOT_INDEPENDENT_TESTS
ANCHORS_ONLY_2,measures anchor-only extremeness and dependence,2,78,301,78/301,0.25913621262458469,mes_sigma_anchor|mes_omega_anchor,74/301,1.4030451715447059,True,DESCRIPTIVE_PAIRED_OPERATOR_SENSITIVITY_NOT_INDEPENDENT_TESTS
MORPHOLOGY_ONLY_8,isolates the irreducible morphology contribution,8,88,301,88/301,0.29235880398671099,multipole_l3_absdot_0,16/301,2.9345215425090942,True,DESCRIPTIVE_PAIRED_OPERATOR_SENSITIVITY_NOT_INDEPENDENT_TESTS
