family_id,feature_index,feature_id,feature_role,unit,observed_value,local_rank_numerator,local_rank_denominator,local_rank_fraction,local_rank_decimal,is_family_minimum
GENERIC_12,0,cl_l2,RAW_LOW_MULTIPOLE_POWER_COORDINATE,microK_CMB^2,210.46184716646644,74,301,74/301,0.24584717607973422,False
GENERIC_12,1,cl_l3,RAW_LOW_MULTIPOLE_POWER_COORDINATE,microK_CMB^2,482.02081141805786,283,301,283/301,0.94019933554817281,False
GENERIC_12,2,cl_l4,RAW_LOW_MULTIPOLE_POWER_COORDINATE,microK_CMB^2,225.31626901545962,219,301,219/301,0.72757475083056478,False
GENERIC_12,3,cl_l5,RAW_LOW_MULTIPOLE_POWER_COORDINATE,microK_CMB^2,305.48504888981739,19,301,19/301,0.063122923588039864,False
GENERIC_12,4,parity_even_over_odd_l2_l5,DIMENSIONLESS_IRREDUCIBLE_MORPHOLOGY,dimensionless,0.55336491846747482,95,301,95/301,0.31561461794019935,False
GENERIC_12,5,power_tensor_gap_l2,DIMENSIONLESS_IRREDUCIBLE_MORPHOLOGY,dimensionless,0.4499927615199697,182,301,182/301,0.60465116279069764,False
GENERIC_12,6,power_tensor_gap_l3,DIMENSIONLESS_IRREDUCIBLE_MORPHOLOGY,dimensionless,0.56013724678780186,35,301,35/301,0.11627906976744186,False
GENERIC_12,7,multipole_l2_absdot,DIMENSIONLESS_IRREDUCIBLE_MORPHOLOGY,dimensionless,0.13317343756618844,177,301,177/301,0.58803986710963452,False
GENERIC_12,8,multipole_l3_absdot_0,DIMENSIONLESS_IRREDUCIBLE_MORPHOLOGY,dimensionless,0.39874428683542901,16,301,16/301,0.053156146179401995,True
GENERIC_12,9,multipole_l3_absdot_1,DIMENSIONLESS_IRREDUCIBLE_MORPHOLOGY,dimensionless,0.43385751928412986,155,301,155/301,0.51495016611295685,False
GENERIC_12,10,multipole_l3_absdot_2,DIMENSIONLESS_IRREDUCIBLE_MORPHOLOGY,dimensionless,0.43682849260993117,174,301,174/301,0.57807308970099669,False
GENERIC_12,11,multipole_plane_alignment_max_l2_l3,DIMENSIONLESS_IRREDUCIBLE_MORPHOLOGY,dimensionless,0.94023908882120621,135,301,135/301,0.44850498338870431,False
RAW_REDUCED_10,0,cl_l2,RAW_LOW_MULTIPOLE_POWER_COORDINATE,microK_CMB^2,210.46184716646644,74,301,74/301,0.24584717607973422,False
RAW_REDUCED_10,1,cl_l3,RAW_LOW_MULTIPOLE_POWER_COORDINATE,microK_CMB^2,482.02081141805786,283,301,283/301,0.94019933554817281,False
